"Step","20260203_145728_traj_reward_fresh_configA_age1500 - critic/score/mean","20260203_145728_traj_reward_fresh_configA_age1500 - critic/score/mean__MIN","20260203_145728_traj_reward_fresh_configA_age1500 - critic/score/mean__MAX","20260203_145221_traj_reward_fresh_configA_age1000 - critic/score/mean","20260203_145221_traj_reward_fresh_configA_age1000 - critic/score/mean__MIN","20260203_145221_traj_reward_fresh_configA_age1000 - critic/score/mean__MAX","20260203_144832_traj_reward_fresh_configA - critic/score/mean","20260203_144832_traj_reward_fresh_configA - critic/score/mean__MIN","20260203_144832_traj_reward_fresh_configA - critic/score/mean__MAX","20260203_141744_traj_reward_fresh - critic/score/mean","20260203_141744_traj_reward_fresh - critic/score/mean__MIN","20260203_141744_traj_reward_fresh - critic/score/mean__MAX","20260201_191930_traj_reward_fresh_configA_IS - critic/score/mean","20260201_191930_traj_reward_fresh_configA_IS - critic/score/mean__MIN","20260201_191930_traj_reward_fresh_configA_IS - critic/score/mean__MAX","20260201_191332_traj_reward_fresh - critic/score/mean","20260201_191332_traj_reward_fresh - critic/score/mean__MIN","20260201_191332_traj_reward_fresh - critic/score/mean__MAX","20260131_160147_step_reward_fresh_configA - critic/score/mean","20260131_160147_step_reward_fresh_configA - critic/score/mean__MIN","20260131_160147_step_reward_fresh_configA - critic/score/mean__MAX","20260131_160100_step_reward_fresh - critic/score/mean","20260131_160100_step_reward_fresh - critic/score/mean__MIN","20260131_160100_step_reward_fresh - critic/score/mean__MAX","20260131_155522_traj_reward_fresh - critic/score/mean","20260131_155522_traj_reward_fresh - critic/score/mean__MIN","20260131_155522_traj_reward_fresh - critic/score/mean__MAX","20260131_155911_traj_reward_fresh_configA - critic/score/mean","20260131_155911_traj_reward_fresh_configA - critic/score/mean__MIN","20260131_155911_traj_reward_fresh_configA - critic/score/mean__MAX"
"26","0.1015625","0.1015625","0.1015625","0.296875","0.296875","0.296875","0.203125","0.203125","0.203125","0.015625","0.015625","0.015625","0.1875","0.1875","0.1875","0.0078125","0.0078125","0.0078125","0.1666666716337204","0.1666666716337204","0.1666666716337204","0.16535432636737823","0.16535432636737823","0.16535432636737823","0.0078125","0.0078125","0.0078125","0.2734375","0.2734375","0.2734375"
"27","0.109375","0.109375","0.109375","0.265625","0.265625","0.265625","0.2578125","0.2578125","0.2578125","0.0078125","0.0078125","0.0078125","0.2578125","0.2578125","0.2578125","0.015625","0.015625","0.015625","0.1746031790971756","0.1746031790971756","0.1746031790971756","0.2195121943950653","0.2195121943950653","0.2195121943950653","0","0","0","0.265625","0.265625","0.265625"
"28","0.1171875","0.1171875","0.1171875","0.203125","0.203125","0.203125","0.1484375","0.1484375","0.1484375","0","0","0","0.2265625","0.2265625","0.2265625","0","0","0","0.1015625","0.1015625","0.1015625","0.1953125","0.1953125","0.1953125","0.0234375","0.0234375","0.0234375","0.171875","0.171875","0.171875"
"29","0.09375","0.09375","0.09375","0.171875","0.171875","0.171875","0.2109375","0.2109375","0.2109375","0.0234375","0.0234375","0.0234375","0.1796875","0.1796875","0.1796875","0","0","0","0.1190476194024086","0.1190476194024086","0.1190476194024086","0.13385826349258423","0.13385826349258423","0.13385826349258423","0","0","0","0.2578125","0.2578125","0.2578125"
"30","0.03125","0.03125","0.03125","0.1875","0.1875","0.1875","0.171875","0.171875","0.171875","0.0078125","0.0078125","0.0078125","0.1953125","0.1953125","0.1953125","0","0","0","0.1587301641702652","0.1587301641702652","0.1587301641702652","0.17741934955120087","0.17741934955120087","0.17741934955120087","0.015625","0.015625","0.015625","0.140625","0.140625","0.140625"
"31","0.0859375","0.0859375","0.0859375","0.265625","0.265625","0.265625","0.21875","0.21875","0.21875","0.015625","0.015625","0.015625","0.1875","0.1875","0.1875","0.0078125","0.0078125","0.0078125","0.2265625","0.2265625","0.2265625","0.1825396865606308","0.1825396865606308","0.1825396865606308","0","0","0","0.1796875","0.1796875","0.1796875"
"32","0.109375","0.109375","0.109375","0.140625","0.140625","0.140625","0.1796875","0.1796875","0.1796875","0.0078125","0.0078125","0.0078125","0.2578125","0.2578125","0.2578125","0","0","0","0.2142857164144516","0.2142857164144516","0.2142857164144516","0.10236220806837082","0.10236220806837082","0.10236220806837082","0.0078125","0.0078125","0.0078125","0.25","0.25","0.25"
"33","0.1328125","0.1328125","0.1328125","0.1328125","0.1328125","0.1328125","0.1953125","0.1953125","0.1953125","0","0","0","0.2421875","0.2421875","0.2421875","0","0","0","0.203125","0.203125","0.203125","0.1428571492433548","0.1428571492433548","0.1428571492433548","0","0","0","0.1875","0.1875","0.1875"
"34","0.125","0.125","0.125","0.2109375","0.2109375","0.2109375","0.21875","0.21875","0.21875","0","0","0","0.234375","0.234375","0.234375","0","0","0","0.15322580933570862","0.15322580933570862","0.15322580933570862","0.171875","0.171875","0.171875","0","0","0","0.2109375","0.2109375","0.2109375"
"35","0.1328125","0.1328125","0.1328125","0.2578125","0.2578125","0.2578125","0.2109375","0.2109375","0.2109375","0","0","0","0.25","0.25","0.25","0","0","0","0.18110236525535583","0.18110236525535583","0.18110236525535583","0.2016129046678543","0.2016129046678543","0.2016129046678543","0","0","0","0.1875","0.1875","0.1875"
